Nº costura;Etiqueta;Tipo;X;Y;Radio detectado;Distancia a tubería;ID elemento origen;Itemcode;Diámetro;Inspeccionado;Observaciones
1;W-001;T;474.172;512.242;2.970;0.026;;;;;
2;W-002;T;540.491;397.834;2.715;0.166;;;;;
3;W-003;T;540.498;391.894;2.715;0.158;;;;;
4;W-004;T;479.401;299.568;2.631;0.162;;;;;
5;W-005;T;463.959;290.762;2.376;0.059;;;;;
6;W-006;T;427.121;269.556;2.292;0.106;;;;;
7;W-007;T;411.655;242.538;2.674;0.029;;;;;
8;W-008;T;395.982;251.744;2.334;0.122;;;;;
9;W-009;T;314.197;371.862;4.242;0.127;;;;;
10;W-010;T;411.601;199.537;2.589;0.083;;;;;
11;W-011;T;411.643;184.083;2.674;0.040;;;;;
12;W-012;T;411.594;141.187;2.589;0.089;;;;;
13;W-013;T;411.509;135.032;2.674;0.244;;;;;
