Nº costura;Etiqueta;Tipo;X;Y;Radio detectado;Distancia a tubería;ID elemento origen;Itemcode;Diámetro;Inspeccionado;Observaciones
1;W-001;W;198.205;593.580;1.697;0.002;path12538;;;;
2;W-002;W;257.092;559.725;1.654;0.012;path12534;;;;
3;W-003;W;271.770;534.186;1.739;0.046;path12526;;;;
4;W-004;W;286.447;543.010;1.697;0.003;path12522;;;;
5;W-005;W;343.807;509.834;1.654;0.074;path12518;;;;
6;W-006;W;365.273;497.447;1.696;0.018;path12514;;;;
7;W-007;W;424.072;463.592;1.697;0.003;path12510;;;;
8;W-008;W;428.146;461.217;1.697;0.098;path12506;;;;
9;W-009;W;437.818;452.561;1.697;0.001;path12502;;;;
10;W-010;W;441.807;450.186;1.740;0.040;path12498;;;;
11;W-011;W;580.193;122.162;1.697;0.003;path12494;;;;
12;W-012;W;271.770;395.033;1.739;0.046;path12530;;;;
13;W-013;T;273.292;381.670;1.104;0.213;;;;;
