archivo;pt_no;categoria;descripcion;diametro;itemcode;cantidad;status
19-000-2-02-00001 sheet 2121CD40F09-2_IS01.pdf;1;PIPE;"TUBE - A269-TP316/316L-DUAL GRADE PE SMLS  T02ALK7Z01 0.065"" tubing <N/A> (N/A)";1/2;I7062245;6.9 M;
19-000-2-02-00001 sheet 2121CD40F09-2_IS01.pdf;2;PIPE;"TUBE - A269-TP316/316L-DUAL GRADE PE SMLS  T02ALK7Z01 0.065"" tubing <N/A> (N/A).";1/2;I7062245;0.2 M;
19-000-2-02-00001 sheet 2121CD40F09-2_IS01.pdf;3;FITTINGS;COMPR UNION TEE MFTR - A182-F316/316L DUAL GR FFRE FFRE -  R64AQL1M7708 NREQD <N/A> (N/A);1/2X1/2;I7062366;1;
19-000-2-02-00001 sheet 2121CD40F09-2_IS01.pdf;4;FITTINGS;COMPRESSION UNION MFTR - A182-F316/316L DUAL GR FFRE FFRE -  R61AQL1M7708 NREQD <N/A> (N/A);1/2;I7062328;1;
19-000-2-02-00001 sheet 2121CD40F09-2_IS01.pdf;5;FITTINGS;COMPR PLUG MFTR - A182-F316/316L DUAL GR FFRE NREQD -  R68AQL1M7003 NREQD <N/A> (N/A);1/2;I7062348;1;
19-000-2-02-00001 sheet 2121CD40F09-2_IS01.pdf;6;FITTINGS;COMPR BALL VALVE MFTR 6000# A182-F316/316L DUAL GR FFRE FFRE 316/PEEK TRUNNION-MOUNTED OHW  V70AOL1M7767 NREQD <N/A> (N/A);1/2;I65625043;1;
19-000-2-02-00001 sheet 2121CD40F09-2_IS01.pdf;7;FITTINGS;"COMPR BALL VALVE MFTR 6000# A182-F316/316L DUAL GR FFRE FFRE 316/PEEK TRUNNION-MOUNTED OHW  V70AOL1M7767 NREQD <N/A> (N/A). NOTES: 1.  FOR TECHNICAL DETAILS SEE LINE LIST. 2.  FOR VENT, DRAIN OR INSTRUMENT CONNECTION DETAILS SEE 45-L-45-000-2-00-80102. 3.  WELDING ACCORDING TO 45-L-45-000-2-00-80021. 4.  PAINTING ACCORDING TO 45-A-45-000-1-00-20160. - 5. CODE SHOWN IN BOM BETWEEN ""<"" & "">"" DENOTES REPSOL UNICODE.  ""<N/A>"" MEANS UNICODE IS ""NOT AVAILABLE"". CONTRACTOR: CONTRACTOR DRAWING NUMBER: NR 4274-XH-DL-2121CD40F09-2 6G69 LOW LINEAL DENSITY POLYETHILENE (PEL) CLIENT / COMPLEX - AND POLYPROPYLENE (PP) PLANTS REPSOL POLYMEROS/ FOR PROJECT - ALBA PROJECT SINES INDUSTRIAL COMPLEX Art 4.3 REV. ANNEX SPEC. DRAWING NUMBER 19 L 19-000-2-02-00001 sheet 2121CD40F09-2 N 0 FILENAME: 19-000-2-02-00001 sheet 2121CD40F09-2.dwg";1/2;I65625043;1;
19-000-2-02-00001 sheet 2121CD40F10-1_IS00.pdf;1;PIPE;"TUBE - A269-TP316/316L-DUAL GRADE PE SMLS  T02ALK7Z01 0.065"" tubing <N/A> (N/A)";1/2;I7062245;0.8 M;
19-000-2-02-00001 sheet 2121CD40F10-1_IS00.pdf;2;FITTINGS;COMPR UNION TEE MFTR - A182-F316/316L DUAL GR FFRE FFRE -  R64AQL1M7708 NREQD <N/A> (N/A);1/2X1/2;I7062366;5;
19-000-2-02-00001 sheet 2121CD40F10-1_IS00.pdf;3;FLANGES;"COMPRESSION FLANGE MFTR 2500# A182-F316/316L DUAL GR RFFE FFRE ASME B16.5 F50AML1MB705 NREQD <N/A> (N/A) NOTES: 1.  FOR TECHNICAL DETAILS SEE LINE LIST. 2.  FOR VENT, DRAIN OR INSTRUMENT CONNECTION DETAILS SEE 45-L-45-000-2-00-80102. 3.  WELDING ACCORDING TO 45-L-45-000-2-00-80021. 4.  PAINTING ACCORDING TO 45-A-45-000-1-00-20160. - 5. CODE SHOWN IN BOM BETWEEN ""<"" & "">"" DENOTES REPSOL UNICODE.  ""<N/A>"" MEANS UNICODE IS ""NOT AVAILABLE"". CONTRACTOR: CONTRACTOR DRAWING NUMBER: NR 4274-XH-DL-2121CD40F10-1 6G69 LOW LINEAL DENSITY POLYETHILENE (PEL) CLIENT / COMPLEX - AND POLYPROPYLENE (PP) PLANTS REPSOL POLYMEROS/ FOR PROJECT - ALBA PROJECT SINES INDUSTRIAL COMPLEX Art 4.3 REV. ANNEX SPEC. DRAWING NUMBER 19 L 19-000-2-02-00001 sheet 2121CD40F10-1 N 0 FILENAME: 19-000-2-02-00001 sheet 2121CD40F10-1.dwg";1/2;I63464619;1;
19-000-2-02-00001 sheet 2121ET40F04-26_IS00.pdf;1;PIPE;PIPE - A106-B PE SMLS  T01AC03Z02 S-XS <PIPA010A13/4XS> (L-6679);3/4;I132785;9.8 M;
19-000-2-02-00001 sheet 2121ET40F04-26_IS00.pdf;2;FITTINGS;TEE ASME B16.11 3000# A105N SWE SWE -  R11FNC441101 NREQD <TESA300LBK3/4> (L-179);3/4X3/4;I1651300;1;
19-000-2-02-00001 sheet 2121ET40F04-26_IS00.pdf;3;FITTINGS;90 ELBOW ASME B16.11 3000# A105N SWE SWE -  R31FNC441103 NREQD <90FA300LBK3/4> (L-178);3/4;I1651298;3;
19-000-2-02-00001 sheet 2121ET40F04-26_IS00.pdf;4;FITTINGS;45 ELBOW ASME B16.11 3000# A105N SWE SWE -  R32FNC441101 NREQD <45FA300LBK3/4> (L-184);3/4;I1651294;1;
19-000-2-02-00001 sheet 2121ET40F04-26_IS00.pdf;5;FLANGES;SW FLANGE ASME B16.5 300# A105N RFFE SWE 125 - 250 AARH  F02CFC44B105 S-XS <SWFA300R353/4XS> (L-375);3/4;I9762190;2;
19-000-2-02-00001 sheet 2121ET40F04-26_IS00.pdf;6;FLANGES;BLIND FLANGE ASME B16.5 300# A105N RFFE NREQD 125 - 250 AARH  F10CFC44B005 <BLFA300R353/4> (L-143);3/4;I1652375;2;
19-000-2-02-00001 sheet 2121ET40F04-26_IS00.pdf;7;GASKETS;SPIRAL WOUND GASKET ASME B16.20 300# RFTBE 304/GRAFOIL CARBON STEEL SS 304 ASME B16.5  G03GFP1IS12 <N/A> (N/A);3/4;I63508950;3;
19-000-2-02-00001 sheet 2121ET40F04-26_IS00.pdf;8;BOLTS;STUD BOLTS&NUTS ASME B18.31.2/ B18.2.2 A193-B7/A194-2H INCH SIZE  I01OB0301 <SB2R51G5/831/4> - 2 NUTS PER BOLT -  80 mm Length;5/8;I53437418;12;
19-000-2-02-00001 sheet 2121ET40F04-26_IS00.pdf;9;BOLTS;"BALL V-FLT-SS-FB API 608 300# A216-WCB RFFE 316/R-PTFE, GF B7/2H 125 - 250 AARH 2PSB-FULL BORE FLOATING BALL OHW TIGHT SHUT-OFF (TSO) ASME B16.5 V1FJFC29BZZH NREQD <N/A> (N/A) NOTES: 1.  FOR TECHNICAL DETAILS SEE LINE LIST. 2.  FOR VENT, DRAIN OR INSTRUMENT CONNECTION DETAILS SEE 45-L-45-000-2-00-80102. 3.  WELDING ACCORDING TO 45-L-45-000-2-00-80021. 4.  PAINTING ACCORDING TO 45-A-45-000-1-00-20160. N 5. CODE SHOWN IN BOM BETWEEN ""<"" & "">"" DENOTES REPSOL UNICODE.  ""<N/A>"" MEANS UNICODE IS ""NOT AVAILABLE"". CONTRACTOR: CONTRACTOR DRAWING NUMBER: 1 4274-XH-DL-2121ET40F04-26 1E21 LOW LINEAL DENSITY POLYETHILENE (PEL) CLIENT / COMPLEX E AND POLYPROPYLENE (PP) PLANTS REPSOL POLYMEROS/ FOR PROJECT - ALBA PROJECT SINES INDUSTRIAL COMPLEX II REV. ANNEX SPEC. DRAWING NUMBER 19 L 19-000-2-02-00001 sheet 2121ET40F04-26 N 0 FILENAME: 19-000-2-02-00001 sheet 2121ET40F04-26.dwg";3/4;I64812611;1;
